#Angle,Frequency,Speed,Average_Time,Errors,Capped_Errors,Failure_rate
0,8,0.81,0.1781908433,0.3269230769,0.3269230769,0
0,13,0.81,0.1895737836,0.6923076923,0.6730769231,1.9230769231
0,20,0.81,0.224570673,0.9038461538,0.9038461538,0
0,30,0.81,0.1578450953,0.4615384615,0.4615384615,0
30,1,0.81,0.2239215552,0.9230769231,0.8461538462,1.9230769231
30,2,0.81,0.2614397429,0.7884615385,0.7884615385,0
30,4,0.81,0.2561895512,1.4615384615,1.3653846154,1.9230769231
30,8,0.81,0.3001807686,1.5576923077,1.3846153846,5.7692307692
30,13,0.81,0.3764911408,2.1346153846,1.8461538462,7.6923076923
30,20,0.81,0.2865636711,1.9615384615,1.75,11.5384615385
30,30,0.81,0.4752491923,4.6730769231,2.8076923077,32.6923076923
60,1,0.81,0.2161314727,1.0576923077,1.0576923077,0
60,2,0.81,0.2871905416,1.6730769231,1.4807692308,5.7692307692
60,4,0.81,0.3422973582,2.4038461539,2.0576923077,11.5384615385
60,8,0.81,0.4026446219,3.5576923077,2.4230769231,30.7692307692
60,13,0.81,0.5760573748,5.0769230769,2.9230769231,36.5384615385
60,20,0.81,0.6832388503,8.0192307692,3.3269230769,42.3076923077
60,30,0.81,0.607811554,7.3653846154,3.5192307692,46.1538461538
90,1,0.81,0.2273667708,0.9230769231,0.9230769231,0
90,2,0.81,0.3951649997,2.6923076923,1.6346153846,13.4615384615
90,4,0.81,0.4665759931,3.2115384615,2.4615384615,21.1538461538
90,8,0.81,0.5271255197,7.3269230769,3.3653846154,50
90,13,0.81,0.5622256243,6.5769230769,3.0961538462,36.5384615385
90,20,0.81,0.4570138899,4.3846153846,2.9807692308,32.6923076923
90,30,0.81,0.3904218297,4.4615384615,2.7307692308,32.6923076923
120,1,0.81,0.2867660295,1.5,1.3846153846,5.7692307692
120,2,0.81,0.4253263784,3.0961538462,2.4038461539,17.3076923077
120,4,0.81,0.4047777864,5.6538461539,2.9038461539,36.5384615385
120,8,0.81,0.5944864373,7.3461538462,3.5769230769,51.9230769231
120,13,0.81,0.4574828391,6.2692307692,3.2115384615,38.4615384615
120,20,0.81,0.4864724568,3.3653846154,2.7115384615,19.2307692308
120,30,0.81,0.2418160707,1.5,1.2884615385,5.7692307692
180,1,0.81,0.3313170027,2.0384615385,1.6923076923,7.6923076923
180,2,0.81,0.6715241982,5.2692307692,2.7884615385,32.6923076923
180,4,0.81,0.5480197819,6.1923076923,3.4615384615,50
180,8,0.81,0.4453063797,3.1538461539,2.2115384615,19.2307692308
180,13,0.81,0.3429083658,1.6730769231,1.4230769231,7.6923076923
180,20,0.81,0.2493859154,1.0769230769,1.0576923077,1.9230769231
180,30,0.81,0.2183981268,1.1538461539,1.1346153846,1.9230769231
