#Speed	Angle	Frequency	Area	Stdev
0.125	28	12	1.01966024428	0.124636066318
0.25	28	12	2.05383905515	0.248016331612
0.5	28	12	4.06353393012	0.496752432661
0.75	28	12	6.20735469892	0.703527265301
1.0	28	12	8.1489978763	0.99894519611
1.25	28	12	10.2293429895	1.253768368
1.5	28	12	12.2527295747	1.54399286547
1.75	28	12	14.2971921673	1.82118242054
2.0	28	12	16.2126224023	2.07877438391
2.25	28	12	18.1185761625	2.52213780229
2.5	28	12	19.9350444591	2.56220427692
2.75	28	12	22.7956465276	2.71870625743
3.0	28	12	23.8718419622	2.96259594429
3.25	28	12	27.5182599813	2.32597170592
3.5	28	12	29.3549553698	3.13275462846
3.75	28	12	30.9416634326	2.86061347314
4.0	28	12	32.9330637927	3.51099401188
