Angle	Frequency	m	p
48	6	7.4402250135	0.125292410929
56	6	6.90926886989	0.0747211981281
64	6	6.5327004621	-0.0185106032216
72	6	5.97123128013	0.0519145655892
80	6	5.68653937733	-0.0884483126966
96	6	4.85493930089	0.14064513324
112	6	4.3684198575	0.0139115701352
128	6	3.8955234188	0.00493466574217
144	6	3.56358760141	-0.0989270964789
160	6	3.20016109654	0.0146666353173
180	6	2.90238482546	-0.00758756346069

0.5	8	9.99751776322	-1.05137662022e-05
1	8	9.99610224703	-0.000126172801945
2	8	9.99070461423	-0.000591596231833
4	8	9.96611180537	0.0011897312942
8	8	9.87332937342	0.00406932129579
16	8	9.53877354281	-0.0328373817437
24	8	8.98866032001	0.0115204051875
32	8	8.46349597237	-0.109423413932
40	8	7.74763142703	-0.103745376704
48	8	7.11990266428	-0.0956288487868
56	8	6.46222630275	-0.0330766603934
64	8	5.98040164089	-0.0269435541099
72	8	5.47199548693	0.0269644296113
80	8	5.04848254439	0.0779865888973
96	8	4.38503591819	0.0649302631463
112	8	3.87957919968	-0.0173692577484
128	8	3.45545956851	0.0299496683554
144	8	3.10792619816	0.02383458459
160	8	2.8407194486	-0.025111462846
180	8	2.50651401447	0.0231213494851

0.5	10	9.99739891452	6.54978972519e-06
1	10	9.99567018773	-0.000128660024858
2	10	9.98793775793	0.000398064974418
4	10	9.95916134189	-0.000877508112151
8	10	9.83823487425	-0.00149393220197
16	10	9.40725359447	-0.0039092710401
24	10	8.73648860048	-0.00119824741063
32	10	8.07914599168	-0.0864316203278
40	10	7.27733111993	0.0165181490051
48	10	6.56097502299	0.102268553896
56	10	6.15742054326	-0.111093827854
64	10	5.46420975342	0.0113144566029
72	10	5.12319057014	0.00265412593792
80	10	4.76343553183	-0.103328801784
96	10	4.11261420573	-0.0530913220285
112	10	3.60895753565	-0.014539782322
128	10	3.17283593989	-0.0682136288662
144	10	2.87062108353	-0.0412654229394
160	10	2.5681808833	-0.0361112793301
180	10	2.3023667598	-0.00635145539266

0.5	12	9.99724956911	1.68722458113e-05
1	12	9.99504174811	6.20674183791e-05
2	12	9.9851938132	0.00101794560381
4	12	9.95218065854	-0.000301134903307
8	12	9.81966319974	-0.00916510629987
16	12	9.31741385872	-0.00162709968288
24	12	8.55787096732	0.0296469141458
32	12	7.82060523347	-0.0563473133532
40	12	7.01952465509	0.003057882825
48	12	6.3970888969	-0.16768566158
56	12	5.73283032652	-0.00392647155073
64	12	5.15379936178	0.0610703144977
72	12	4.77060380391	0.0166177479854
80	12	4.35562396083	0.0398080813327
96	12	3.71480106551	0.0831885201255
112	12	3.28257471596	0.0106696196372
128	12	2.92976112917	-0.0356950061729
144	12	2.583330307	0.0349028729085
160	12	2.37260064427	-0.0155196525966
180	12	2.10567468047	0.0277141842074

0.5	16	9.99700710516	1.29952864122e-06
1	16	9.99399164378	7.53589018583e-05
2	16	9.98266622981	0.000167210005758
4	16	9.93672939475	0.00182099270315
8	16	9.75457956684	0.0047969274183
16	16	9.03197943635	0.0483422049611
24	16	8.14536209944	0.0751396602649
32	16	7.32064807758	-0.0606156552527
40	16	6.52920129875	-0.0889129363533
48	16	5.86797297542	-0.10592060483
56	16	5.16105291422	0.0139941654154
64	16	4.56803058041	0.129587201147
72	16	4.23852429416	0.0370937729246
80	16	3.95659409919	-0.0364146740118
96	16	3.34396539064	-0.00931060671131
112	16	2.92721625044	-0.0287148774748
128	16	2.59755013128	-0.0437317807451
144	16	2.25806980693	0.0436303574424
160	16	2.09031311549	-0.0109805421799
180	16	1.82113240851	0.0403593229881

0.5	20	9.99687353271	-5.71108842717e-05
1	20	9.99317680427	9.68587421058e-05
2	20	9.97925293172	-0.0005406782577
4	20	9.91962654207	0.00444274971594
8	20	9.70715175535	-0.00524391858735
16	20	8.86837663127	0.0259383165599
24	20	7.89439335798	-0.0145624886154
32	20	6.8011022721	0.103254458085
40	20	6.16421715548	-0.0952597123616
48	20	5.46143599283	-0.0830227163235
56	20	4.80432706757	-0.0566348889814
64	20	4.29060486336	0.0428190895085
72	20	3.87860507986	0.0655328399445
80	20	3.53753099806	0.0417041063604
96	20	3.10801201789	-0.0518866099177
112	20	2.64219502179	-0.0173890619125
128	20	2.3309658451	0.015875017587
144	20	2.1097691369	-0.0494325173273
160	20	1.88291726401	-0.0112011092191
180	20	1.67480318761	-0.00719898223016

0.5	24	9.99657358877	-1.75423627884e-05
1	24	9.99190892176	0.00043213646665
2	24	9.97496116177	-0.000837780810994
4	24	9.90414817864	0.000833219225724
8	24	9.62174323788	0.0210707915023
16	24	8.71838285817	-0.0122551896833
24	24	7.52443755133	0.0946432419395
32	24	6.60070555215	-0.0711373742745
40	24	5.84141422125	-0.18010672442
48	24	5.08412992757	-0.0609015180659
56	24	4.43138330407	0.0239049179646
64	24	4.02345916492	0.0109708690461
72	24	3.64142187342	-0.0152447801045
80	24	3.2934972883	0.057791009085
96	24	2.81925849998	-0.011627804737
112	24	2.4456474015	0.00822067527908
128	24	2.14368599353	0.000922601239171
144	24	1.88055830096	0.0387585133827
160	24	1.70909584849	0.0223547853487
180	24	1.56669450561	-0.012367670581

0.5	32	9.99622851649	-0.000125741952497
1	32	9.9898771885	0.000382531587036
2	32	9.96799709017	-0.000606419946172
4	32	9.87984093645	0.00158189964446
8	32	9.52035346677	0.00877164043446
16	32	8.32607575535	0.0823525873151
24	32	7.11557031405	-0.0985532035448
32	32	6.05111088834	0.0141451138357
