#Speed	Angle	Frequency	Area	Stdev	m	p
0.125	10	4	1.23494698756	0.0154030226441	7.43067491441	0.0543284819088
0.125	20	4	1.205124948	0.0293882927299	7.43067491441	0.0543284819088
0.125	30	4	1.1413963669	0.0582811421017	7.43067491441	0.0543284819088
0.125	40	4	1.09951082885	0.058006486241	7.43067491441	0.0543284819088
0.125	50	4	1.03223774384	0.0864207399805	7.43067491441	0.0543284819088
0.125	60	4	1.01259013318	0.127275523231	7.43067491441	0.0543284819088
0.125	90	4	0.720801792922	0.158032737056	7.43067491441	0.0543284819088
0.125	120	4	0.59214687144	0.098552350272	7.43067491441	0.0543284819088
0.125	180	4	0.412715363354	0.0849201916323	7.43067491441	0.0543284819088
0.25	10	4	2.47518709605	0.0183817417674	7.43067491441	0.0543284819088
0.25	20	4	2.39477392688	0.0732396819758	7.43067491441	0.0543284819088
0.25	30	4	2.35053984763	0.0974329203179	7.43067491441	0.0543284819088
0.25	40	4	2.24660944711	0.119039044726	7.43067491441	0.0543284819088
0.25	50	4	1.93369461658	0.283484503102	7.43067491441	0.0543284819088
0.25	60	4	1.92674527392	0.253541278747	7.43067491441	0.0543284819088
0.25	90	4	1.5437083779	0.265856221178	7.43067491441	0.0543284819088
0.25	120	4	1.23999228638	0.219394198419	7.43067491441	0.0543284819088
0.25	180	4	0.805433939724	0.18785530207	7.43067491441	0.0543284819088
0.5	10	4	4.95843210957	0.0166038404046	7.43067491441	0.0543284819088
0.5	20	4	4.79956454848	0.112024691604	7.43067491441	0.0543284819088
0.5	30	4	4.68970754923	0.155774652698	7.43067491441	0.0543284819088
0.5	40	4	4.40694166267	0.266178325954	7.43067491441	0.0543284819088
0.5	50	4	4.03124635691	0.496518449431	7.43067491441	0.0543284819088
0.5	60	4	3.65795568066	0.611417041089	7.43067491441	0.0543284819088
0.5	90	4	2.95428610475	0.490647735509	7.43067491441	0.0543284819088
0.5	120	4	2.45011897019	0.501291637844	7.43067491441	0.0543284819088
0.5	180	4	1.75458806609	0.424265379222	7.43067491441	0.0543284819088
0.75	10	4	7.42490513676	0.0422184911413	7.43067491441	0.0543284819088
0.75	20	4	7.25686077624	0.181491484083	7.43067491441	0.0543284819088
0.75	30	4	6.7111984185	0.521555829931	7.43067491441	0.0543284819088
0.75	40	4	6.57404476316	0.762230025655	7.43067491441	0.0543284819088
0.75	50	4	6.26786991884	0.494984214076	7.43067491441	0.0543284819088
0.75	60	4	5.76655893191	0.771206689943	7.43067491441	0.0543284819088
0.75	90	4	4.35784784263	1.07117524371	7.43067491441	0.0543284819088
0.75	120	4	3.41530602338	0.901037403175	7.43067491441	0.0543284819088
0.75	180	4	2.48427891928	0.500489471205	7.43067491441	0.0543284819088
1.0	10	4	9.91308143983	0.0465064378893	7.43067491441	0.0543284819088
1.0	20	4	9.60176221763	0.269679974936	7.43067491441	0.0543284819088
1.0	30	4	9.21912356296	0.5440427843	7.43067491441	0.0543284819088
1.0	40	4	8.45945416763	0.743739750236	7.43067491441	0.0543284819088
1.0	50	4	8.09772938617	1.00695086359	7.43067491441	0.0543284819088
1.0	60	4	7.25384546661	1.27952456187	7.43067491441	0.0543284819088
1.0	90	4	5.81146246636	1.3471557369	7.43067491441	0.0543284819088
1.0	120	4	4.8686345424	1.23906365483	7.43067491441	0.0543284819088
1.0	180	4	3.54729495969	0.807861252751	7.43067491441	0.0543284819088
1.25	10	4	12.4108234288	0.0467196863403	7.43067491441	0.0543284819088
1.25	20	4	12.0946647607	0.26194687182	7.43067491441	0.0543284819088
1.25	30	4	11.4691416111	0.5774659586	7.43067491441	0.0543284819088
1.25	40	4	10.9635076575	0.73130664166	7.43067491441	0.0543284819088
1.25	50	4	10.0364235508	0.879129807102	7.43067491441	0.0543284819088
1.25	60	4	9.32359362008	1.28182890349	7.43067491441	0.0543284819088
1.25	90	4	6.66311987833	1.53602304418	7.43067491441	0.0543284819088
1.25	120	4	6.34826826813	1.39114371849	7.43067491441	0.0543284819088
1.25	180	4	4.32625550709	1.01760636221	7.43067491441	0.0543284819088
1.5	10	4	14.8240280396	0.123666528118	7.43067491441	0.0543284819088
1.5	20	4	14.5225205172	0.265132428617	7.43067491441	0.0543284819088
1.5	30	4	14.0250498389	0.555836980742	7.43067491441	0.0543284819088
1.5	40	4	13.0471095887	1.53250693717	7.43067491441	0.0543284819088
1.5	50	4	11.8658544052	1.68201544829	7.43067491441	0.0543284819088
1.5	60	4	11.0065584854	1.95729611633	7.43067491441	0.0543284819088
1.5	90	4	9.30043502374	1.90742821266	7.43067491441	0.0543284819088
1.5	120	4	7.46623125101	1.39172636125	7.43067491441	0.0543284819088
1.5	180	4	5.26704272084	1.16928231562	7.43067491441	0.0543284819088
1.75	10	4	17.3644217326	0.0853149118329	7.43067491441	0.0543284819088
1.75	20	4	16.7576234721	0.497354822642	7.43067491441	0.0543284819088
1.75	30	4	15.9514030589	1.54567185028	7.43067491441	0.0543284819088
1.75	40	4	14.7962710331	2.0267026981	7.43067491441	0.0543284819088
1.75	50	4	14.1683936488	1.33712126468	7.43067491441	0.0543284819088
1.75	60	4	12.9770666217	1.77179601366	7.43067491441	0.0543284819088
1.75	90	4	11.3940800208	1.6995821076	7.43067491441	0.0543284819088
1.75	120	4	8.72459251193	1.95475493126	7.43067491441	0.0543284819088
1.75	180	4	6.10070926292	1.30550568018	7.43067491441	0.0543284819088
2.0	10	4	19.8686562973	0.0636371037618	7.43067491441	0.0543284819088
2.0	20	4	19.2914139871	0.325739462495	7.43067491441	0.0543284819088
